Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS,20MICRONS.NS,21STCENMGM.NS,3IINFOTECH.NS,3MINDIA.NS,3PLAND.NS,5PAISA.NS,63MOONS.NS,8KMILES.NS,A2ZINFRA.NS,AARTIDRUGS.NS,AARTIIND.NS,AARVEEDEN.NS,AAVAS.NS,ABAN.NS,ABB.NS,ABBOTINDIA.NS,ABCAPITAL.NS,ABFRL.NS,ABMINTLTD.NS,ACC.NS,ACCELYA.NS,ACE.NS,ADANIENT.NS,ADANIGAS.NS,ADANIGREEN.NS,ADANIPORTS.NS,ADANIPOWER.NS,ADANITRANS.NS,ADFFOODS.NS,ADHUNIKIND.NS,ADLABS.NS,ADORWELD.NS,ADROITINFO.NS,ADSL.NS,ADVANIHOTR.NS,ADVENZYMES.NS,AEGISCHEM.NS,AFFLE.NS,AGARIND.NS,AGCNET.NS,AGRITECH.NS,AGROPHOS.NS,AHLEAST.NS,AHLUCONT.NS,AHLWEST.NS,AIAENG.NS,AIONJSW.NS,AIRAN.NS,AJANTPHARM.NS,AJMERA.NS,AKASH.NS,AKSHARCHEM.NS,AKSHOPTFBR.NS,AKZOINDIA.NS,ALANKIT.NS,ALBERTDAVD.NS,ALBK.NS,ALCHEM.NS,ALEMBICLTD.NS,ALICON.NS,ALKALI.NS,ALKEM.NS,ALKYLAMINE.NS,ALLCARGO.NS,ALLSEC.NS,ALMONDZ.NS,ALPA.NS,ALPHAGEO.NS,ALPSINDUS.NS,AMARAJABAT.NS,AMBER.NS,AMBIKCO.NS,AMBUJACEM.NS,AMDIND.NS,AMJLAND.NS,AMRUTANJAN.NS,ANANTRAJ.NS,ANDHRABANK.NS,ANDHRACEMT.NS,ANDHRSUGAR.NS,ANIKINDS.NS,ANKITMETAL.NS,ANSALAPI.NS,ANSALHSG.NS,ANTGRAPHIC.NS,ANUP.NS,APARINDS.NS,APCL.NS,APCOTEXIND.NS,APEX.NS,APLAPOLLO.NS,APLLTD.NS,APOLLO.NS,APOLLOHOSP.NS,APOLLOPIPE.NS,APOLLOTYRE.NS,APOLSINHOT.NS,APTECHT.NS,ALOKINDS.NS,ANDHRAPAP.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,31.100000381469727,12.300000190734863,1.9500000476837158,20632.900390625,4.5,158.35000610351562,90.4000015258789,33.75,4.0,651.0,983.4500122070312,12.550000190734863,1918.199951171875,20.100000381469727,1161.0,15427.7001953125,77.8499984741211,254.25,13.449999809265137,1335.25,1045.300048828125,68.19999694824219,225.75,134.25,159.5,347.29998779296875,48.900001525878906,256.3999938964844,257.29998779296875,31.350000381469727,3.6500000953674316,295.75,6.300000190734863,17.950000762939453,51.599998474121094,152.85000610351562,214.9499969482422,1817.1500244140625,74.3499984741211,390.95001220703125,38.5,13.350000381469727,186.4499969482422,337.54998779296875,310.54998779296875,1790.800048828125,12.949999809265137,12.0,1477.5,96.30000305175781,95.9000015258789,256.45001220703125,5.550000190734863,2402.0,14.449999809265137,411.3500061035156,11.449999809265137,0.800000011920929,47.95000076293945,289.6000061035156,43.25,2642.35009765625,1525.949951171875,109.9000015258789,256.25,16.700000762939453,15.850000381469727,196.1999969482422,0.800000011920929,644.75,1418.8499755859375,790.2000122070312,211.14999389648438,15.0,18.802082061767578,470.5,28.0,13.149999618530273,1.850000023841858,254.0500030517578,7.349999904632568,0.5,5.75,4.25,0.6499999761581421,527.2999877929688,370.59625244140625,137.25,104.44999694824219,262.1499938964844,1907.5,661.2000122070312,70.80000305175781,1725.699951171875,413.6000061035156,138.75,509.54998779296875,116.8499984741211,,,31.100000381469727,12.300000190734863,1.9500000476837158,20632.900390625,4.5,158.35000610351562,90.4000015258789,33.75,4.0,651.0,983.4500122070312,12.550000190734863,1918.199951171875,20.100000381469727,1161.0,15427.7001953125,77.8499984741211,254.25,13.449999809265137,1335.25,1045.300048828125,68.19999694824219,225.75,134.25,159.5,347.29998779296875,48.900001525878906,256.3999938964844,257.29998779296875,31.350000381469727,3.6500000953674316,295.75,6.300000190734863,17.950000762939453,51.599998474121094,152.85000610351562,214.9499969482422,1817.1500244140625,74.3499984741211,390.95001220703125,38.5,13.350000381469727,186.4499969482422,337.54998779296875,310.54998779296875,1790.800048828125,12.949999809265137,12.0,1477.5,96.30000305175781,95.9000015258789,256.45001220703125,5.550000190734863,2402.0,14.449999809265137,411.3500061035156,11.449999809265137,0.800000011920929,47.95000076293945,289.6000061035156,43.25,2642.35009765625,1525.949951171875,109.9000015258789,256.25,16.700000762939453,15.850000381469727,196.1999969482422,0.800000011920929,644.75,1418.8499755859375,790.2000122070312,211.14999389648438,15.0,19.0,470.5,28.0,13.149999618530273,1.850000023841858,254.0500030517578,7.349999904632568,0.5,5.75,4.25,0.6499999761581421,527.2999877929688,380.1000061035156,137.25,104.44999694824219,262.1499938964844,1907.5,661.2000122070312,70.80000305175781,1725.699951171875,413.6000061035156,141.75,509.54998779296875,116.8499984741211,,,32.25,12.300000190734863,1.9500000476837158,20995.0,4.5,165.0,91.25,33.75,4.599999904632568,687.0,995.0,12.600000381469727,1945.0,21.950000762939453,1204.8499755859375,15780.0,78.8499984741211,260.0,13.449999809265137,1342.0,1055.0,70.0,228.64999389648438,139.0,163.0,349.04998779296875,49.650001525878906,262.5,264.0,32.400001525878906,3.8499999046325684,301.95001220703125,6.300000190734863,19.450000762939453,52.54999923706055,153.8000030517578,222.3000030517578,1899.0,75.75,422.95001220703125,40.45000076293945,13.899999618530273,222.0,357.0,319.95001220703125,1850.0,13.199999809265137,12.5,1531.0,99.30000305175781,100.0,275.0,5.849999904632568,2458.949951171875,15.399999618530273,416.70001220703125,11.550000190734863,0.800000011920929,48.400001525878906,299.6000061035156,44.599998474121094,2670.0,1550.0,111.9000015258789,259.8999938964844,16.700000762939453,16.899999618530273,202.6999969482422,0.800000011920929,648.9000244140625,1430.0,800.9500122070312,212.1999969482422,15.899999618530273,19.299999237060547,495.0,29.600000381469727,13.649999618530273,2.0,258.0,7.699999809265137,0.5,5.900000095367432,4.349999904632568,0.6499999761581421,535.0,380.5,144.39999389648438,108.0,274.04998779296875,1930.0,676.9000244140625,73.5999984741211,1753.199951171875,440.0,142.89999389648438,530.0,119.25,,,30.850000381469727,11.899999618530273,1.7999999523162842,20312.0,4.5,157.10000610351562,88.0,33.75,3.549999952316284,641.0999755859375,966.2999877929688,11.600000381469727,1858.300048828125,19.899999618530273,1154.0,15301.0,76.80000305175781,239.0,13.449999809265137,1288.0,1016.0999755859375,67.80000305175781,219.25,130.8000030517578,157.0,342.0,47.75,252.8000030517578,252.9499969482422,30.75,3.5999999046325684,294.70001220703125,6.300000190734863,17.799999237060547,51.349998474121094,148.1999969482422,207.0500030517578,1781.199951171875,70.19999694824219,390.95001220703125,37.25,13.25,183.0500030517578,333.1499938964844,299.8999938964844,1731.0,12.5,11.850000381469727,1395.300048828125,95.55000305175781,95.9000015258789,251.39999389648438,5.550000190734863,2355.0,14.149999618530273,398.1000061035156,11.199999809265137,0.699999988079071,46.79999923706055,281.0,42.20000076293945,2610.0,1475.6500244140625,107.80000305175781,251.0,16.25,15.649999618530273,185.0,0.800000011920929,623.7000122070312,1375.1500244140625,753.7999877929688,203.64999389648438,14.199999809265137,18.450000762939453,464.70001220703125,26.850000381469727,13.0,1.850000023841858,251.25,7.099999904632568,0.4000000059604645,5.449999809265137,4.150000095367432,0.6000000238418579,504.95001220703125,375.0,135.3000030517578,103.6500015258789,254.25,1819.8499755859375,640.0,69.44999694824219,1695.0,410.25,136.5500030517578,505.1499938964844,113.75,,,31.200000762939453,11.899999618530273,1.9500000476837158,20470.0,4.5,165.0,88.44999694824219,33.75,4.599999904632568,680.0,995.0,11.600000381469727,1858.300048828125,21.950000762939453,1199.0,15407.0,77.25,243.89999389648438,13.449999809265137,1288.0,1039.050048828125,69.0,221.0,136.10000610351562,162.89999389648438,344.0,48.04999923706055,262.5,264.0,31.049999237060547,3.799999952316284,297.04998779296875,6.300000190734863,19.450000762939453,52.099998474121094,148.1999969482422,217.0,1858.0,70.8499984741211,415.0,40.150001525878906,13.5,222.0,346.8500061035156,319.95001220703125,1737.050048828125,12.5,12.149999618530273,1420.0,97.4000015258789,96.0,270.0,5.75,2405.0,15.050000190734863,404.6000061035156,11.350000381469727,0.75,47.45000076293945,291.79998779296875,44.0,2629.0,1530.0,109.0,255.1999969482422,16.5,16.5,185.0,0.800000011920929,627.5,1380.0,771.7000122070312,203.89999389648438,14.199999809265137,18.450000762939453,464.70001220703125,28.200000762939453,13.5,1.850000023841858,252.8000030517578,7.099999904632568,0.4000000059604645,5.550000190734863,4.349999904632568,0.6000000238418579,505.79998779296875,380.0,144.39999389648438,106.55000305175781,270.0,1821.0999755859375,656.0999755859375,71.19999694824219,1738.9000244140625,440.0,138.0,530.0,117.0999984741211,,,13324.0,64.0,1984345.0,7108.0,110.0,9134.0,67249.0,0.0,1078630.0,73215.0,225422.0,3543.0,31876.0,54743.0,45482.0,18862.0,1304622.0,1112115.0,0.0,701334.0,2577.0,63356.0,2992170.0,3640772.0,534459.0,3671071.0,7774434.0,191427.0,62645.0,8921.0,53554.0,1616.0,1001.0,19786.0,6671.0,52968.0,302441.0,133522.0,2246.0,17393.0,9870.0,65229.0,1954.0,281308.0,5524.0,91970.0,74024.0,10718.0,189534.0,18744.0,221.0,9234.0,163700.0,21149.0,166491.0,9250.0,1057058.0,5872.0,122074.0,2448.0,5398.0,55170.0,44761.0,205304.0,1335.0,887.0,5069.0,42194.0,150.0,827545.0,32195.0,5493.0,4549626.0,1294.0,1704.0,146393.0,167174.0,609611.0,33623.0,19979.0,1388.0,36719.0,78057.0,8943.0,32166.0,12579.0,16824.0,1665.0,26367.0,228635.0,70258.0,191933.0,41415.0,672514.0,6809.0,4006039.0,1079.0,96801.0,,
